product;sku;image_url;reason
La Fiole du pape 75 cl;;https://r.bing.com/rp/r31GrT0Eaf_5sPyu1TswcyPA8VI.svg;cannot identify image file <_io.BytesIO object at 0x0000018AFE87C590>
La Fiole du pape 75 cl;;https://r.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg;cannot identify image file <_io.BytesIO object at 0x0000018A818AAA70>
La Fiole du pape 75 cl;;https://r.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg;cannot identify image file <_io.BytesIO object at 0x0000018A818AAB10>
La Fiole du pape 75 cl;;https://r.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg;cannot identify image file <_io.BytesIO object at 0x0000018A818AAC00>
La Fiole du pape 75 cl;;https://r.bing.com/rp/UusW4P7f5q9mXctgEuZhyIziufA.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194ACF0>
La Fiole du pape 75 cl;;https://r.bing.com/rp/4A9D07RlW6M7gPmPQQydX3khDJc.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194AB10>
La Fiole du pape 75 cl;;https://r.bing.com/rp/OHA5u4HW70mLbGkOE41WRDXcYTY.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194B0B0>
La Fiole du pape 75 cl;;https://r.bing.com/rp/UzLAW1Q1WOatPD4L3XbeKD9b0Lg.svg;cannot identify image file <_io.BytesIO object at 0x0000018A8194AED0>
La Fiole du pape 75 cl;;https://tse2.mm.bing.net/th/id/OIP.N7Y-IIZ9ILtNeQ5rJbznzAHaJQ?w=115&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 115x180
La Fiole du pape 75 cl;;https://tse2.mm.bing.net/th/id/OIP.sN4PgTP1K0jRcnwxJ6-2JQHaJ4?w=115&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 115x180
La Fiole du pape 75 cl;;https://tse1.mm.bing.net/th/id/OIP.FFxmT07qPMahF7DdBA9zWQHaEN?w=246&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 246x180
La Fiole du pape 75 cl;;https://tse1.mm.bing.net/th/id/OIP._HLFqYkSEy2vkIMY3bqQNAHaEK?w=248&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 248x180
La Fiole du pape 75 cl;;https://tse2.mm.bing.net/th/id/OIP.sdf00fI5cEeA4uRIod1mkQHaEK?w=248&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 248x180
La Fiole du pape 75 cl;;https://tse3.mm.bing.net/th/id/OIP.40N1Tc_X2llAtEYSxttyDwHaJl?w=132&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 132x180
La Fiole du pape 75 cl;;https://tse4.mm.bing.net/th/id/OIP.bVtG4fO9Cphkpv9vakQijgHaFY?w=236&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 236x180
La Fiole du pape 75 cl;;https://tse3.mm.bing.net/th/id/OIF.hMd3GTzbKllQKoTSnT2Tkw?w=306&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 306x180
La Fiole du pape 75 cl;;https://tse1.mm.bing.net/th?id=OIF.mjir%2fO9m7G7Dyak2mJcnOw&w=306&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 306x180
La Fiole du pape 75 cl;;https://tse3.mm.bing.net/th/id/OIP.GLtdX7XLs-wWj-0FKNXyUQHaJ4?w=164&h=218&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 164x218
La Fiole du pape 75 cl;;https://tse4.mm.bing.net/th/id/OIP.dNkADcRjClIAWtowapsf5QHaHa?w=218&h=218&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 218x218
La Fiole du pape 75 cl;;https://tse3.mm.bing.net/th/id/OIP.c0kZ80eDjNqCHms2UYsv2wHaKe?w=154&h=218&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 154x218
La Fiole du pape 75 cl;;https://tse2.mm.bing.net/th/id/OIP.gKQpjXUsW9gH0uQt68CmbgHaHa?w=218&h=218&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 218x218
La Fiole du pape 75 cl;;https://tse4.mm.bing.net/th/id/OIP.09Z0TosV1o6wfXC5qLdCtgHaHa?w=218&h=218&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 218x218
La Fiole du pape 75 cl;;https://tse1.mm.bing.net/th/id/OIP.-8weKkPDv9a1bMAKtZTwFQHaLH?w=116&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 116x180
La Fiole du pape 75 cl;;https://tse3.mm.bing.net/th/id/OIP.ybgEqNDZsWhEqp84lSW_ZwHaNK?w=115&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 115x180
La Fiole du pape 75 cl;;https://tse1.mm.bing.net/th/id/OIP.LvHkpW3j7Z0zLrRU5YrjpwAAAA?w=115&h=180&c=7&r=0&o=7&pid=1.7&rm=3;trop petite 115x180
La Fiole du pape 1,5 L;;https://r.bing.com/rp/r31GrT0Eaf_5sPyu1TswcyPA8VI.svg;cannot identify image file <_io.BytesIO object at 0x0000018AFE873F10>
La Fiole du pape 1,5 L;;https://r.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81961B70>
La Fiole du pape 1,5 L;;https://r.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg;cannot identify image file <_io.BytesIO object at 0x0000018AFE873F10>
La Fiole du pape 1,5 L;;https://r.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81961B70>
La Fiole du pape 1,5 L;;https://r.bing.com/rp/UusW4P7f5q9mXctgEuZhyIziufA.svg;cannot identify image file <_io.BytesIO object at 0x0000018AFE873F10>
La Fiole du pape 1,5 L;;https://r.bing.com/rp/4A9D07RlW6M7gPmPQQydX3khDJc.svg;cannot identify image file <_io.BytesIO object at 0x0000018A81961B70>
La Fiole du pape 1,5 L;;https://r.bing.com/rp/OHA5u4HW70mLbGkOE41WRDXcYTY.svg;cannot identify image file <_io.BytesIO object at 0x0000018AFE873F10>
La Fiole du pape 1,5 L;;https://r.bing.com/rp/UzLAW1Q1WOatPD4L3XbeKD9b0Lg.svg;cannot identify image file <_io.BytesIO object at 0x0000018AFE873F10>
